,Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($)
0,5293,8/2/1915,The Birth of a Nation,110000,11000000,"$10,000,000"
1,5140,5/9/1916,Intolerance,385907,0,$0
2,5230,12/24/1916,"20,000 Leagues Under the Sea",200000,8000000,"$8,000,000"
3,5299,9/17/1920,Over the Hill to the Poorhouse,100000,3000000,"$3,000,000"
4,5222,1/1/1925,The Big Parade,245000,22000000,"$11,000,000"
5,4250,12/30/1925,Ben-Hur,3900000,9000000,"$9,000,000"
6,4630,12/8/1927,Wings,2000000,0,$0
7,5141,1/2/1929,The Broadway Melody,379000,4358000,"$2,800,000"
8,4240,1/1/1930,Hell's Angels,4000000,0,$0
9,5043,12/31/1931,Mata Hari,558000,900000,"$900,000"
10,5017,7/4/1933,King Kong,672000,10000650,"$10,000,000"
11,5234,9/2/1933,She Done Him Wrong,200000,2000000,"$2,000,000"
12,5120,9/3/1933,42nd Street,439000,2281000,"$1,438,000"
13,5154,1/1/1934,It Happened One Night,325000,2500000,"$2,500,000"
14,5025,6/9/1935,Top Hat,609000,3202000,"$1,782,000"
15,4738,5/2/1936,Modern Times,1500000,165049,"$163,245"
16,4768,6/26/1936,San Francisco,1300000,5273000,"$2,868,000"
17,4814,10/20/1936,"Charge of the Light Brigade, The",1200000,0,$0
18,4756,12/21/1937,Snow White and the Seven Dwarfs,1488000,184925485,"$184,925,485"
19,4570,1/1/1938,Alexander's Ragtime Band,2000000,4000000,"$4,000,000"
20,4693,1/1/1938,You Can't Take It With You,1644000,4000000,"$4,000,000"
21,4712,1/1/1939,Mr. Smith Goes To Washington,1500000,9000000,"$9,000,000"
22,4447,8/25/1939,The Wizard of Oz,2777000,33754967,"$33,711,566"
23,4248,12/15/1939,Gone with the Wind,3900000,390525192,"$198,680,470"
24,4556,1/1/1940,Boom Town,2000000,9172000,"$9,172,000"
25,4783,1/1/1940,Rebecca,1288000,6000000,"$6,000,000"
26,4524,11/13/1940,Fantasia,2280000,83320000,"$83,320,000"
27,4789,10/28/1941,How Green Was My Valley,1250000,0,$0
28,4969,8/13/1942,Bambi,858000,268000000,"$102,797,000"
29,5283,11/16/1942,Cat People,134000,8000000,"$4,000,000"
30,4839,1/23/1943,Casablanca,1039000,10462500,"$10,462,500"
31,4457,12/24/1943,A Guy Named Joe,2627000,5363000,"$5,363,000"
32,4515,1/1/1944,Bathing Beauty,2361000,3500000,"$3,500,000"
33,3949,1/8/1944,Wilson,5200000,2000000,"$2,000,000"
34,4530,1/1/1945,The Valley of Decision,2160000,9132000,"$9,132,000"
35,4785,1/1/1945,The Lost Weekend,1250000,11000000,"$11,000,000"
36,4716,10/31/1945,Spellbound,1500000,7000000,"$7,000,000"
37,4327,1/1/1946,It's a Wonderful Life,3180000,9576159,"$6,600,000"
38,4545,1/1/1946,Notorious,2000000,24464742,"$24,464,742"
39,4533,11/21/1946,The Best Years of Our Lives,2100000,23600000,"$23,600,000"
40,3845,12/31/1946,Duel in the Sun,6000000,20400000,"$20,400,000"
41,4557,1/1/1947,Gentleman's Agreement,2000000,7800000,"$7,800,000"
42,4260,1/1/1948,The Pirate,3700000,2956000,"$2,956,000"
43,4361,1/1/1948,Red River,3000000,9012000,"$9,012,000"
44,4695,1/1/1949,She Wore a Yellow Ribbon,1600000,5400000,"$5,400,000"
45,4857,1/1/1949,Sands of Iwo Jima,1000000,7800000,"$7,800,000"
46,4434,2/15/1950,Cinderella,2900000,263591415,"$85,000,000"
47,4255,5/17/1950,Annie Get Your Gun,3768785,8000000,"$8,000,000"
48,3593,2/23/1951,Quo Vadis?,8250000,30022000,"$30,000,000"
49,4797,3/7/1951,Strangers on a Train,1200000,7000000,"$7,000,000"
50,4419,7/28/1951,Alice in Wonderland,3000000,0,$0
51,4666,9/18/1951,A Streetcar Named Desire,1800000,8000000,"$8,000,000"
52,4517,9/24/1951,Show Boat,2300000,11000000,"$11,000,000"
53,5009,1/1/1952,High Noon,730000,8000000,"$8,000,000"
54,4166,10/1/1952,The Greatest Show on Earth,4000000,36000000,"$36,000,000"
55,4468,10/4/1952,Singin' in the Rain,2540000,7200000,"$7,200,000"
56,4788,1/21/1953,Niagara,1250000,2500000,"$2,500,000"
